"Date","Price","Open","High","Low","Vol.","Change %"
"2025-08-28","44.19","44.21","44.25","44.15","118.10K","0.16%"
"2025-08-27","44.12","44.12","44.23","44.03","175.67K","-0.56%"
"2025-08-26","44.37","44.36","44.38","44.23","153.00K","-0.29%"
"2025-08-25","44.50","44.77","44.79","44.49","147.24K","-1.00%"
"2025-08-22","44.95","44.70","45.05","44.70","135.76K","1.01%"
"2025-08-21","44.50","44.50","44.58","44.46","83.00K","-0.40%"
"2025-08-20","44.68","44.52","44.68","44.52","96.92K","0.22%"
"2025-08-19","44.58","44.54","44.65","44.47","148.95K","0.54%"
"2025-08-18","44.34","44.28","44.39","44.20","126.98K","-0.14%"
"2025-08-15","44.40","44.30","44.40","44.30","109.80K","0.59%"
"2025-08-14","44.14","43.95","44.15","43.95","144.67K","0.32%"
"2025-08-13","44.00","43.93","44.00","43.89","100.56K","0.39%"
"2025-08-12","43.83","43.47","43.83","43.47","100.62K","1.17%"
"2025-08-11","43.33","43.36","43.42","43.29","97.13K","-0.22%"
"2025-08-08","43.42","43.23","43.45","43.23","162.39K","0.60%"
"2025-08-07","43.16","43.14","43.23","43.02","129.48K","0.91%"
"2025-08-06","42.77","42.68","42.83","42.66","129.60K","0.45%"
"2025-08-05","42.58","42.70","42.71","42.48","286.03K","1.19%"
"2025-08-01","42.08","42.14","42.14","41.77","318.27K","-0.75%"
"2025-07-31","42.40","42.55","42.57","42.26","360.73K","-0.66%"
"2025-07-30","42.68","42.85","42.85","42.48","228.81K","-0.30%"
"2025-07-29","42.81","42.84","42.87","42.72","146.31K","0.07%"
"2025-07-28","42.78","43.30","43.30","42.67","186.68K","-1.34%"
"2025-07-25","43.36","43.08","43.36","43.04","188.02K","0.28%"
"2025-07-24","43.24","43.33","43.35","43.23","169.02K","-0.35%"
"2025-07-23","43.39","42.91","43.39","42.91","464.70K","2.27%"
"2025-07-22","42.42","42.43","42.46","42.34","111.95K","-0.06%"
"2025-07-21","42.45","42.40","42.61","42.40","124.37K","0.33%"
"2025-07-18","42.31","42.50","42.50","42.28","164.69K","-0.38%"
"2025-07-17","42.47","42.31","42.49","42.31","107.52K","0.64%"
"2025-07-16","42.20","42.16","42.23","41.98","715.83K","0.14%"
"2025-07-15","42.14","42.45","42.45","42.12","186.81K","-0.78%"
"2025-07-14","42.47","42.34","42.52","42.31","161.31K","0.02%"
"2025-07-11","42.46","42.54","42.54","42.40","138.52K","-0.75%"
"2025-07-10","42.78","42.79","42.82","42.71","82.65K","-0.21%"
"2025-07-09","42.87","42.68","42.88","42.65","148.11K","0.73%"
"2025-07-08","42.56","42.20","42.57","42.20","169.02K","0.88%"
"2025-07-07","42.19","42.32","42.36","42.12","369.04K","-0.55%"
"2025-07-04","42.42","42.13","42.47","42.13","149.95K","0.15%"
"2025-07-03","42.36","42.35","42.42","42.28","219.17K","-0.08%"
"2025-07-02","42.40","42.30","42.42","42.28","172.48K","-0.01%"
"2025-06-30","42.40","42.46","42.47","42.34","210.60K","-0.52%"
"2025-06-27","42.62","42.34","42.67","42.29","282.34K","1.45%"
"2025-06-26","42.01","41.93","42.03","41.86","192.86K","0.57%"
"2025-06-25","41.77","41.87","41.87","41.77","215.17K","-2.25%"
"2025-06-24","42.73","42.45","42.77","42.45","214.12K","1.06%"
"2025-06-23","42.28","41.86","42.29","41.82","139.62K","0.71%"
"2025-06-20","41.98","42.23","42.24","41.96","106.51K","-0.33%"
"2025-06-19","42.12","42.12","42.17","41.92","249.54K","-0.28%"
"2025-06-18","42.24","42.08","42.35","42.07","103.12K","0.67%"
"2025-06-17","41.96","42.09","42.16","41.93","249.79K","-0.85%"
"2025-06-16","42.32","42.34","42.55","42.27","132.68K","0.36%"
"2025-06-13","42.17","42.26","42.33","42.09","242.28K","-1.36%"
"2025-06-12","42.75","42.62","42.81","42.62","96.34K","0.28%"
"2025-06-11","42.63","42.80","42.82","42.60","150.99K","-0.14%"
"2025-06-10","42.69","42.78","42.80","42.62","182.66K","0.14%"
"2025-06-09","42.63","42.61","42.76","42.57","140.56K","-0.14%"
"2025-06-06","42.69","42.54","42.71","42.54","131.22K","0.54%"
"2025-06-05","42.46","42.53","42.60","42.38","159.09K","-0.21%"
"2025-06-04","42.55","42.49","42.62","42.47","135.88K","0.24%"
"2025-06-03","42.45","42.39","42.49","42.30","159.28K","-0.63%"
"2025-06-02","42.72","42.35","42.72","42.24","112.21K","0.90%"
"2025-05-30","42.34","42.48","42.50","42.14","201.66K","-0.33%"
"2025-05-29","42.48","42.49","42.50","42.32","179.72K","0.19%"
"2025-05-28","42.40","42.63","42.63","42.28","246.81K","-0.93%"
"2025-05-27","42.80","42.64","42.81","42.57","214.84K","0.52%"
"2025-05-26","42.58","42.36","42.59","42.36","90.69K","1.50%"
"2025-05-23","41.95","41.79","41.99","41.77","210.98K","-0.76%"
"2025-05-22","42.27","42.23","42.39","42.14","140.82K","-0.09%"
"2025-05-21","42.31","42.61","42.73","42.25","232.38K","-0.94%"
"2025-05-20","42.71","42.55","42.74","42.53","160.31K","0.95%"
"2025-05-16","42.31","42.14","42.34","42.02","142.59K","0.38%"
"2025-05-15","42.15","42.02","42.22","42.02","164.33K","0.98%"
"2025-05-14","41.74","41.98","41.99","41.71","177.68K","-0.17%"
"2025-05-13","41.81","41.93","41.98","41.81","174.05K","-0.29%"
"2025-05-12","41.93","41.88","41.93","41.61","116.12K","0.93%"
